Date,Min_Temp,Max_Temp,Humidity,Wind_Speed,Solar_Irradiance,Sun,Kc,ETc,ETo,Rainfall,Water_Need_1day,Water_Need_2days,Water_Need_3days
6-Feb,16.902336711771802,36.44528270354327,52.54037886820697,6.0945566163334535,11.739460239711542,26.436684568328243,0.4,9.269146051965784,8.251358090390744,0.0,0.0,32.58416215686845,30.190756535315238
7-Feb,17.08202359062243,36.58524963941985,53.13625523683818,5.765013553375646,11.829755484032976,26.546950550713788,0.4,9.045105291212389,8.239090061039382,0.0,0.0,33.153611663452175,32.120503642441136
8-Feb,16.932464315695885,36.655203202952755,54.40994040907751,6.125541180353588,11.91643395004723,26.48377782765298,0.4,8.925669536133388,8.357594748795737,0.0,0.0,33.24441345931695,31.12700686964551
9-Feb,17.019740955639268,36.576850993972734,54.817604081932636,5.761978060330123,11.883600310299686,26.677556837352434,0.4,8.880806272700509,8.079727366509909,0.0,0.0,31.878862986741673,31.007391614146314
10-Feb,17.022409846128138,36.55062660020532,54.52134116284354,5.840963312328998,11.775136306673,26.798784144533148,0.4,8.899502395980448,8.226278229443274,0.0,0.0,32.79835523348388,31.492366868013573
11-Feb,17.01842454289271,36.57632534385029,54.290548703118525,5.798582708386101,11.800181682474484,26.831799843445786,0.4,8.809270547532376,8.375073064480329,0.0,0.0,33.63954430894434,34.57190390162006
12-Feb,17.02613157053722,36.56662679400843,54.03803174707283,5.77335642279335,11.794154931409198,26.787821549494755,0.4,8.798483078637627,8.343832262655564,0.0,0.0,33.48220468778878,33.414874819674196
13-Feb,17.04345381155397,36.54693815517002,54.030304586670304,5.80466368198811,11.846080175556171,26.84867385498116,0.4,9.083485597108718,8.197590143133347,0.0,0.0,32.71320199485177,32.94566183154047
14-Feb,16.90291585257746,36.451639206572466,51.31887408409399,5.725311022945862,11.968845458160768,26.88664515957859,0.4,9.354364475947662,8.041092077201629,0.0,0.0,31.52118707398728,31.115738632398052
15-Feb,17.063896146053562,36.42356063495132,52.18365611494973,6.09807050970457,11.782768363480375,26.533884042986553,0.4,9.470028799135115,8.126248689413709,0.0,0.0,31.73730846404252,30.90271837177752
16-Feb,17.015183406772874,36.583613780829666,53.79483066850151,5.816539876211541,11.787475525821845,26.803564292160836,0.4,9.014195833653027,8.338037315956464,0.0,0.0,33.39962670425594,32.77202265629926
17-Feb,17.009419310072314,36.72759218656644,54.85839121859246,6.011905846341286,11.90764839992596,26.70062681814427,0.4,9.02180806686656,8.230182377740723,0.0,0.0,32.762600768348875,32.182521011538206
18-Feb,16.0,37.1,59.9,9.4,12.0,24.8,0.4,9.74,8.22138631445637,0.0,0.0,32.96327867616666,23.021173325279605
19-Feb,16.5,34.0,64.0,7.6,10.4,22.6,0.4,7.58,3.032,0.0,0.0,12.128,12.128
20-Feb,16.4,36.2,55.0,9.0,11.4,24.1,0.4,9.75,3.9,0.0,0.0,15.6,0.0
21-Feb,16.4,36.2,55.0,9.0,11.4,24.1,0.4,9.79,3.92,0.0,0.0,15.664000000000001,31.264
22-Feb,19.1,38.7,31.0,7.0,11.4,23.9,0.4,11.93,4.77,0.0,0.0,19.088,0.0
23-Feb,15.9,39.4,36.0,5.6,13.0,26.2,0.4,10.66,4.26,0.0,0.0,17.055999999999997,36.144
24-Feb,18.3,38.0,15.0,7.4,11.4,24.0,0.4,13.51,5.4,0.0,0.0,21.616,0.0
25-Feb,17.9,34.9,13.0,7.7,10.2,22.3,0.4,12.91,5.16,0.0,0.0,20.656,42.272
26-Feb,15.7,35.5,13.0,10.0,11.4,24.1,0.8,14.66,11.73,0.0,0.0,46.912,0.0
27-Feb,17.3,33.7,13.0,6.0,9.9,21.9,0.8,11.01,8.81,0.0,0.0,35.232,82.14399999999999
28-Feb,15.7,31.4,14.0,6.1,9.6,21.4,0.8,10.35,8.28,0.0,0.0,33.12,0.0
1-Mar,17.9,34.9,13.0,5.8,10.2,22.3,0.8,11.16,8.93,0.0,0.0,35.711999999999996,68.832
2-Mar,17.2,31.2,10.0,6.2,9.0,22.4,0.8,11.05,8.84,0.0,0.0,35.36,0.0
3-Mar,13.9,33.8,28.0,4.7,11.9,26.7,0.8,9.27,7.42,0.0,0.0,29.664,65.024
4-Mar,11.2,36.5,39.0,4.8,14.1,30.1,0.8,9.61,7.69,0.0,0.0,30.752,0.0
5-Mar,11.7,37.7,47.0,4.8,14.4,30.5,0.8,9.5,7.6,0.0,0.0,30.4,61.152
6-Mar,11.7,39.2,52.0,4.8,15.0,31.3,0.8,9.7,7.76,0.0,0.0,31.04,0.0
7-Mar,14.9,38.5,61.0,4.8,13.5,29.0,0.8,8.65,6.92,0.0,0.0,27.68,58.72
8-Mar,15.1,37.0,63.0,4.8,12.7,28.0,0.8,8.03,6.42,0.0,0.0,25.695999999999998,0.0
9-Mar,15.9,34.8,50.0,4.8,11.4,26.0,0.8,8.17,6.54,0.0,0.0,26.144000000000002,51.84
10-Mar,15.0,35.7,60.0,4.9,12.2,27.2,0.8,7.89,6.31,0.0,0.0,25.248,0.0
11-Mar,15.0,35.7,60.0,4.9,12.2,27.2,0.8,7.89,6.31,0.0,0.0,25.248,50.496
12-Mar,20.8,36.9,32.0,4.9,10.1,24.0,0.8,9.86,7.89,0.0,0.0,31.552,0.0
13-Mar,19.5,37.8,15.0,6.4,11.1,25.6,0.8,12.88,10.3,0.0,0.0,41.216,72.768
14-Mar,23.3,38.3,9.0,6.4,9.5,23.2,0.8,13.61,10.89,0.0,0.0,43.552,0.0
15-Mar,18.6,38.2,20.0,6.4,11.7,26.5,0.8,12.6,10.08,0.0,0.0,40.32,83.87200000000001
16-Mar,16.5,40.8,17.0,5.0,13.7,29.5,0.8,12.1,9.68,0.0,0.0,38.72,0.0
17-Mar,13.3,43.8,55.0,5.0,16.1,33.0,0.8,11.11,8.89,0.0,0.0,35.552,74.27199999999999
18-Mar,13.6,43.7,55.0,5.0,15.9,32.8,0.8,11.04,8.83,0.0,0.0,35.328,0.0
19-Mar,13.1,41.6,37.0,5.0,15.4,31.9,0.8,11.4,9.12,0.0,0.0,36.48,71.808
20-Mar,17.7,41.2,67.0,5.1,13.4,29.0,0.8,9.0,7.2,0.0,0.0,28.8,0.0
