Q15HIEDU,Q19READ,F_Linsidehh,F_Loutsidehh,Q29EYE,Q28REM
2,3,1,1,2,1
11,1,14,2,2,1
11,1,14,2,2,1
6,1,1,1,2,1
6,1,1,1,2,1
7,1,1,1,2,1
25,1,4,2,2,1
7,1,1,1,1,1
7,1,1,1,2,1
9,1,1,1,1,1
7,1,1,1,2,1
9,1,1,1,2,1
12,1,1,1,2,1
10,1,1,1,2,1
12,1,1,1,1,1
12,1,1,1,2,1
10,1,1,1,2,1
5,1,1,1,2,1
8,1,1,1,2,1
98,4,1,1,2,3
98,4,1,1,2,2
98,4,1,1,2,2
98,4,1,1,2,3
98,4,1,1,2,2
98,4,1,1,2,3
98,4,1,1,2,3
98,4,1,1,2,3
10,1,1,1,2,1
98,4,1,1,2,3
98,4,1,1,2,3
98,4,1,1,2,3
2,4,1,1,2,3
3,4,1,1,2,3
12,1,1,1,2,1
12,1,1,1,2,1
10,1,1,1,2,1
8,1,1,1,2,1
7,1,1,1,2,1
8,1,1,1,2,1
3,1,1,1,2,1
99,1,1,1,2,1
8,1,1,1,2,1
10,1,1,1,2,1
9,1,1,1,2,1
8,1,1,1,2,1
8,1,1,1,2,1
6,1,1,1,2,1
9,1,1,1,2,1
11,1,1,1,2,1
8,1,1,1,2,1
5,1,1,1,2,1
98,2,1,1,2,1
8,1,1,1,2,1
8,1,1,1,2,1
9,1,1,1,2,1
8,1,1,1,2,1
2,3,1,1,2,1
11,1,1,1,2,1
10,1,1,1,2,1
8,1,1,1,2,1
9,1,1,1,2,1
5,1,1,1,2,1
98,3,1,1,2,1
7,1,1,1,2,1
6,1,1,1,2,1
10,1,1,1,1,1
10,1,1,1,1,1
5,1,9,2,2,1
11,1,9,1,2,1
11,1,1,1,2,1
2,1,1,1,2,1
6,1,1,1,2,1
10,1,1,1,1,1
12,1,1,1,2,1
12,1,1,1,2,1
11,1,1,1,2,1
98,4,1,1,1,1
5,1,1,1,2,1
9,1,1,1,2,1
10,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,2,1
12,1,1,1,2,1
1,1,1,1,2,1
5,1,1,1,2,1
9,1,1,1,2,1
6,1,1,1,2,1
98,4,1,1,2,1
5,1,1,1,2,1
8,1,1,1,2,1
7,1,1,1,2,1
2,1,1,1,2,1
98,4,1,1,2,1
98,4,1,1,2,1
6,1,1,1,2,1
6,1,1,1,2,1
8,1,1,1,2,1
5,1,1,1,2,1
8,1,1,1,2,1
12,1,14,2,2,1
11,1,14,2,2,1
25,1,1,1,1,1
23,1,1,1,1,1
98,4,2,2,2,2
3,1,2,2,2,1
15,1,1,1,2,1
22,1,1,1,1,1
10,1,1,1,2,1
23,1,1,1,1,1
12,1,1,1,1,1
10,1,1,1,2,1
10,1,1,1,2,1
10,1,1,1,2,1
12,1,1,1,2,1
8,1,4,2,2,1
98,1,1,1,2,1
6,1,1,1,1,1
12,1,1,1,2,1
11,1,1,1,2,1
9,1,1,1,1,1
10,1,1,1,2,1
10,1,1,1,2,1
10,1,1,1,2,1
8,1,1,1,2,1
0,1,1,1,2,1
12,1,1,1,2,1
12,1,1,1,2,1
9,1,1,1,2,1
7,1,1,1,2,1
7,1,1,1,2,1
7,1,1,1,1,1
12,1,1,1,2,1
7,1,1,1,2,1
5,1,1,1,2,1
4,1,1,1,2,1
8,1,1,1,1,1
7,1,1,1,2,1
9,1,1,1,2,1
7,1,1,1,2,1
7,1,1,1,2,1
3,1,1,1,2,1
10,1,1,1,2,1
7,1,1,1,2,1
10,1,1,1,2,1
12,1,1,1,2,1
4,1,1,1,2,1
7,1,1,1,1,1
11,1,1,1,2,1
11,1,1,1,2,1
0,1,1,1,2,1
98,2,1,1,2,1
12,1,1,1,2,1
12,1,1,1,2,1
9,1,1,1,1,1
5,1,1,1,2,1
2,1,1,1,2,1
12,1,1,1,2,1
12,1,1,1,2,1
3,1,1,1,2,1
7,1,1,1,2,1
9,1,1,1,2,1
9,1,1,1,2,1
10,1,1,1,2,1
8,1,1,1,2,1
11,1,1,1,1,1
12,1,1,1,2,1
7,1,1,1,2,1
8,1,1,1,1,1
5,1,4,1,2,1
10,1,4,1,2,1
12,1,4,2,2,1
11,1,4,1,2,1
12,1,4,1,2,1
4,1,4,1,2,1
7,1,1,1,2,1
9,1,1,1,2,1
10,1,1,1,1,1
23,1,1,1,2,1
98,2,2,2,2,1
98,4,2,2,2,1
98,4,1,1,2,1
2,2,1,1,2,1
12,1,1,1,2,1
11,1,1,1,2,1
12,1,1,1,2,1
9,1,1,1,2,1
8,1,1,1,1,1
98,4,1,1,2,1
7,1,1,1,2,1
8,1,1,1,2,1
9,1,1,1,2,1
3,1,1,1,2,1
7,1,1,1,2,1
8,1,1,1,2,1
8,1,1,1,2,1
11,1,1,1,2,1
12,1,1,1,2,1
10,1,1,1,2,1
4,1,1,1,2,1
8,1,2,2,2,1
12,1,2,2,2,1
12,1,1,1,1,1
12,1,1,1,1,1
25,1,1,1,2,1
25,1,1,1,2,1
12,1,1,1,2,1
14,1,1,1,1,1
12,1,2,2,2,1
9,1,4,2,2,1
9,1,4,2,2,1
1,1,4,4,2,1
4,1,4,4,2,1
5,1,4,4,2,1
10,1,4,2,2,1
10,1,4,2,2,1
9,1,4,1,2,1
9,1,4,4,2,1
2,1,4,2,2,1
10,1,4,2,2,1
7,1,4,4,2,1
11,1,4,2,2,1
23,1,4,2,1,1
10,1,4,2,1,1
12,1,4,2,2,1
3,1,4,1,2,1
12,1,8,2,2,1
10,1,8,2,2,1
4,1,8,8,2,1
3,2,8,8,2,1
2,2,8,8,2,1
8,1,1,1,2,1
12,1,1,1,2,1
7,1,1,1,2,1
8,1,4,2,2,1
11,1,4,2,2,1
8,1,1,1,2,1
12,1,1,1,2,1
1,1,1,1,2,1
11,1,1,1,2,1
